nombre_localidad,anio,casos_consumo,casos_violencia,en_psicoactivas,en_vif,poblacion,poblacion_baja,tasa_consumo_100k,tasa_violencia_100k
san cristóbal,2016,1000,2039,True,True,186898.0,False,535.0512044002611,1090.9694057721324
san cristóbal,2017,315,1994,True,True,186898.0,False,168.54112938608225,1066.8921015741207
san cristóbal,2018,198,2177,True,True,186898.0,False,105.9401384712517,1164.8064719793683
san cristóbal,2019,270,2899,True,True,189906.0,False,142.17560266658242,1526.544711594157
san cristóbal,2020,208,1481,True,True,192089.0,False,108.28313958633757,770.9967775354132
san cristóbal,2021,410,2030,True,True,193376.0,False,212.02217441668043,1049.7683269899057
san cristóbal,2022,533,2481,True,True,194589.0,False,273.9106527090431,1274.9949894392798
san cristóbal,2023,332,2372,True,True,195731.0,False,169.6205506537033,1211.8673076824825
san cristóbal,2024,399,2487,True,True,196903.0,False,202.63784706175122,1263.058460257081
santa fe,2015,239,637,True,True,51631.0,False,462.90019561891114,1233.7549146830393
santa fe,2016,431,524,True,True,51631.0,False,834.769808835777,1014.8941527376963
santa fe,2017,410,631,True,True,51631.0,False,794.0965698901823,1222.133989270012
santa fe,2018,849,713,True,True,51631.0,False,1644.3609459433285,1380.9533032480485
santa fe,2019,489,862,True,True,52751.0,False,926.9966446133723,1634.0922446967832
santa fe,2020,381,496,True,True,53544.0,False,711.5643209323174,926.3409532347229
santa fe,2021,671,662,True,True,53328.0,False,1258.2508250825083,1241.3741374137414
santa fe,2022,875,821,True,True,53246.0,False,1643.3159298351052,1541.8998610224241
santa fe,2023,740,732,True,True,53035.0,False,1395.304987272556,1380.2206090317713
santa fe,2024,611,788,True,True,52841.0,False,1156.2990859370564,1491.2662515849433
suba,2015,1462,3282,True,True,542437.0,False,269.524387163855,605.0472220737155
suba,2016,1394,2817,True,True,542437.0,False,256.9883691562338,519.322981286306
suba,2017,439,2651,True,True,542437.0,False,80.93105743155427,488.7203490912309
suba,2018,361,3173,True,True,542437.0,False,66.55150736398882,584.9527226203228
suba,2019,676,3013,True,True,561773.0,False,120.33330188528106,536.3376310360235
